Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2023,2,Salta,57.48,13.92
2023,2,San Juan,47.52,12.1
2023,2,San Luis,93.41,26.73
2023,2,Santa Cruz,41.66,12.39
2023,2,Santa Fe,78.83,24.79
2023,2,Santiago Del Estero,47.14,11.7
2023,2,Tierra Del Fuego,106.38,31.54
2023,2,Tucumán,60.75,15.05
2023,1,Buenos Aires,79.0,26.81
2023,1,Capital Federal,122.59,50.23
2023,1,Catamarca,66.17,16.83
2023,1,Chaco,43.15,11.53
2023,1,Chubut,85.89,26.32
2023,1,Córdoba,88.84,27.2
2023,1,Corrientes,52.05,13.71
2023,1,Entre Ríos,64.79,19.37
2023,1,Formosa,38.79,9.87
2023,1,Jujuy,58.2,14.88
2023,1,La Pampa,96.55,31.81
2023,1,La Rioja,79.74,21.23
2023,1,Mendoza,51.4,14.34
2023,1,Misiones,53.97,14.7
2023,1,Neuquén,78.55,23.38
2023,1,Río Negro,69.16,21.27
2023,1,Salta,57.67,13.97
2023,1,San Juan,49.75,12.67
2023,1,San Luis,90.17,25.8
2023,1,Santa Cruz,43.42,12.92
2023,1,Santa Fe,78.13,24.57
2023,1,Santiago Del Estero,47.55,11.8
2023,1,Tierra Del Fuego,104.23,30.9
2023,1,Tucumán,60.34,14.95
2022,4,Buenos Aires,78.94,26.72
2022,4,Capital Federal,122.73,50.35
2022,4,Catamarca,65.77,16.73
2022,4,Chaco,43.62,11.66
2022,4,Chubut,85.57,26.23
2022,4,Córdoba,89.03,27.26
2022,4,Corrientes,51.64,13.6
2022,4,Entre Ríos,64.01,19.14
2022,4,Formosa,39.41,10.03
2022,4,Jujuy,58.46,14.95
2022,4,La Pampa,94.8,31.23
2022,4,La Rioja,79.86,21.26
2022,4,Mendoza,51.36,14.33
2022,4,Misiones,52.85,14.39
2022,4,Neuquén,78.67,23.41
2022,4,Río Negro,68.42,21.04
2022,4,Salta,57.96,14.04
2022,4,San Juan,50.88,12.96
2022,4,San Luis,90.27,25.83
2022,4,Santa Cruz,43.53,12.95
2022,4,Santa Fe,78.4,24.65
2022,4,Santiago Del Estero,48.05,11.92
2022,4,Tierra Del Fuego,101.44,30.07
2022,4,Tucumán,61.04,15.12
2022,3,Buenos Aires,78.11,26.37
2022,3,Capital Federal,122.28,50.22
2022,3,Catamarca,65.33,16.62
2022,3,Chaco,43.86,11.72
2022,3,Chubut,84.38,25.86
2022,3,Córdoba,88.31,27.04
2022,3,Corrientes,48.21,12.69
2022,3,Entre Ríos,63.67,19.04
2022,3,Formosa,43.76,11.14
2022,3,Jujuy,58.91,15.06
2022,3,La Pampa,96.59,31.82
2022,3,La Rioja,80.66,21.47
2022,3,Mendoza,51.03,14.24
2022,3,Misiones,51.82,14.11
2022,3,Neuquén,80.37,23.92
2022,3,Río Negro,67.98,20.91
2022,3,Salta,57.76,13.99
2022,3,San Juan,50.8,12.94
2022,3,San Luis,81.74,23.39
2022,3,Santa Cruz,43.19,12.85
2022,3,Santa Fe,78.55,24.7
2022,3,Santiago Del Estero,47.98,11.91
2022,3,Tierra Del Fuego,99.51,29.5
2022,3,Tucumán,61.14,15.14
2022,2,Buenos Aires,77.58,26.12927127832741
2022,2,Capital Federal,121.31,49.873561256261084
2022,2,Catamarca,62.4,15.871790195247085
2022,2,Chaco,43.79,11.70254390369554
2022,2,Chubut,83.19,25.499919336270644
2022,2,Córdoba,87.48,26.781590841133493
2022,2,Corrientes,48.35,12.732146965383649
2022,2,Entre Ríos,63.9,19.10468595065942
2022,2,Formosa,43.42,11.049814591140093
2022,2,Jujuy,57.32,14.656913524540677
2022,2,La Pampa,92.98,30.632721559665786
2022,2,La Rioja,80.14,21.331409216914373
2022,2,Mendoza,49.39,13.782233784570575
2022,2,Misiones,51.0,13.89002818196789
2022,2,Neuquén,80.02,23.81745752817118
2022,2,Río Negro,67.85,20.867543527383393
2022,2,Salta,57.54,13.936010557448652
2022,2,San Juan,49.46,12.597912455631214
2022,2,San Luis,81.76,23.396972678771853
2022,2,Santa Cruz,43.15,12.83962283852644
2022,2,Santa Fe,77.9,24.495906799164608
2022,2,Santiago Del Estero,47.7,11.836737968128928
2022,2,Tierra Del Fuego,99.86,29.60495526496903
2022,2,Tucumán,59.31,14.6914572899128
2022,1,Buenos Aires,76.07814661157262,25.563030152028354
2022,1,Capital Federal,111.79786269174652,46.01434762144353
